library_labels,grouping,mainsite,origin,pdxid,sample_id
A96204B,A96204B,Metastasis,SupraSpinal,X08472112251,SA919X7XB05691
A96200A,A96200A,Primary,Primary,X08472112251,SA919X7XB05402
A96229A,A96229A,Metastasis,VentralSpinal,X08472112251,SA919X7XB05692
A96117B,A96117B,Primary,Primary,X08472112252,SA919X7XB05378
A96117A,A96117A,Metastasis,SupraSpinal,X08472112252,SA919X7XB05604
A98232B,A98232B,Primary,Primary,X0847216,SA919X3XB08939
A98306A,A98306A,Primary,Primary,X0847216,SA919X3XB08939
A98261B,A98261B,Primary,Primary,X08472164,SA919X4XB09563
A98217B,A98217B,Metastasis,Axillary,X08472164,SA919X4XB40503
A98217A,A98217A,Metastasis,VentralSpinal,X08472164,SA919X4XB40509
A98300B,A98300B,Primary,Primary,X08472112253,SA919X7XB05298
A98290A,A98290A,Metastasis,VentralSpinal,X08472112253,SA919X7XB05588
A98299A,A98299A,Metastasis,VentralSpinal,X08472112253,SA919X7XB05588
A98236A,A98236A,Primary,Primary,X08472112253,SA919X7XB05298
A98293A,A98293A,Metastasis,VentralSpinal,X08472112254,SA919X7XB05608
A98181A,A98181A,Primary,Primary,X08472112254,SA919X7XB05289
A108836B,A108836B,Primary,Primary,X08472161,SA919X4XB09552
